center_count,sigma,lambda,cv_mse,train_mse,test_mse
10.0,0.5,0.1,0.6070708546185649,0.41110070714872343,0.3801844315880871
12.0,1.5,0.1,0.6074381026320552,0.49705842515184495,0.4872028106602743
5.0,1.5,0.01,0.6112988669991234,0.5490483528341756,0.5261479037239927
15.0,1.5,0.1,0.6132275967658247,0.495609340906167,0.48611501572517146
10.0,0.1,1.0,0.6174264002688417,0.5693162432540814,0.5370265700960946
8.0,0.8,0.1,0.6191472705868044,0.42084668232301786,0.43349247890071574
20.0,1.5,0.1,0.620701643683628,0.4933342213928175,0.48442211308850025
10.0,0.1,0.1,0.6210345506154884,0.5459574821714792,0.5065869642729455
8.0,2.0,0.01,0.621532686504248,0.5045338217826592,0.4943409631915943
5.0,2.0,0.0001,0.6220235311297302,0.5463614293315507,0.5216576828635917
8.0,0.5,0.01,0.6221150139282156,0.3892824998625071,0.4238733109876592
5.0,2.0,1e-06,0.6225103005492936,0.546361428543186,0.5216590991266264
10.0,0.8,0.01,0.6229264597213573,0.385338620771669,0.36315893566502794
25.0,0.3,1e-06,0.6241008293100091,0.1593484302640331,0.25480933943504785
25.0,1.5,0.1,0.6265285509770531,0.4912683020183431,0.4828983339000698
8.0,1.0,0.1,0.6270060851865417,0.4311953707428364,0.43836012303453414
5.0,1.5,0.0001,0.6278154361494627,0.5489874653369412,0.5266754376637871
5.0,1.5,1e-06,0.6282740794951092,0.5489874433812444,0.5266869456863426
5.0,1.0,1.0,0.6298613168629299,0.5730507690100369,0.5520581168860891
10.0,2.0,0.01,0.6305636941391933,0.5044332496295275,0.49447383134990586
10.0,0.5,0.01,0.6306771118355519,0.4099373996656642,0.37748224413414866
15.0,1.5,0.0001,0.6308453540356787,0.3499978628054336,0.35014490585420377
30.0,1.5,0.1,0.6313704016835748,0.4893980645735107,0.4815312223018525
8.0,0.5,0.0001,0.6327478192446001,0.3892565799728675,0.42364054431648107
8.0,0.5,1e-06,0.6328649167220755,0.3892565770389702,0.42363829565319916
5.0,1.0,0.1,0.6356023999379983,0.5723193278119412,0.549505738641875
12.0,2.0,0.01,0.637530189579123,0.504339302767648,0.49456824636618135
12.0,1.0,0.0001,0.6379014254788775,0.3505200964430522,0.3562899822858151
5.0,1.0,0.01,0.6403438591887378,0.5722934255475834,0.5491536153538479
5.0,1.0,0.0001,0.6418722355000723,0.5722924625460142,0.5490962397684109
5.0,1.0,1e-06,0.6418906787298702,0.5722924624216132,0.5490956245866119
20.0,0.2,0.01,0.6452596497610106,0.2001510900487278,0.2572306211777655
15.0,2.0,0.01,0.6457501589988486,0.5042256803107363,0.49467999018670455
10.0,0.5,0.0001,0.6480144676883124,0.40927579497947664,0.3749209183653963
10.0,0.5,1e-06,0.6485465064181669,0.4092754468041331,0.37487698272943876
10.0,1.0,0.0001,0.6520685613698946,0.37397613150482073,0.3545026225865402
8.0,0.8,0.01,0.6540424468675553,0.41781540975053205,0.43299371566914113
10.0,1.0,1e-06,0.6550208840867524,0.37397487550853953,0.3545640134185787
20.0,2.0,0.01,0.6558454221844376,0.5040716251070881,0.49480596503369484
30.0,0.8,1e-06,0.6606215353916048,0.16878529964168987,0.26860917979398463
5.0,0.8,1.0,0.6610145090874572,0.5979790884784499,0.5722375056513396
25.0,2.0,0.01,0.6632146012207104,0.5039362005145341,0.4948783434256018
12.0,1.0,1e-06,0.6647564498187478,0.35049838830814134,0.3569992114974812
30.0,2.0,0.01,0.6688953921633677,0.5038087099506502,0.4949146509471619
12.0,1.5,0.0001,0.6717832604056684,0.35824818124233593,0.3581624246105608
5.0,0.8,0.1,0.6738944364088224,0.5970832342394808,0.569259127156843
25.0,0.8,1e-06,0.676407483387154,0.1691891328906271,0.26881482608436724
5.0,0.8,0.01,0.6782017873301199,0.5970719681238054,0.5689927868045972
5.0,0.8,0.0001,0.6788135486957805,0.5970718496247659,0.5689637894601361
5.0,0.8,1e-06,0.6788198490030085,0.5970718496128545,0.5689634997545678
15.0,0.2,0.0001,0.6855454059744543,0.2706642695544097,0.38317395727474385
8.0,1.5,0.01,0.6872959130435091,0.4725190235088138,0.4711055659986836
15.0,0.2,1e-06,0.6896696121903063,0.27066426903939894,0.3831769786927872
20.0,0.8,1e-06,0.6970008720739445,0.17014771869090858,0.26901195566701175
10.0,1.5,0.01,0.6986890856780066,0.4763942528617763,0.47428775828990155
5.0,0.2,1.0,0.7026080363604457,0.6501107836734473,0.6125626746778959
5.0,0.2,0.1,0.70519574177918,0.6449857565659372,0.6014255095404362
